N	Time
1000.000	 0.000
901.000	 0.769
820.000	 1.538
739.000	 2.308
668.000	 3.077
599.000	 3.846
543.000	 4.615
496.000	 5.385
452.000	 6.154
410.000	 6.923
375.000	 7.692
342.000	 8.462
310.000	 9.231
276.000	 10.000
249.000	 10.769
222.000	 11.538
204.000	 12.308
186.000	 13.077
163.000	 13.846
140.000	 14.615
125.000	 15.385
114.000	 16.154
105.000	 16.923
93.000	 17.692
85.000	 18.462
79.000	 19.231
70.000	 20.000
67.000	 20.769
61.000	 21.538
57.000	 22.308
52.000	 23.077
47.000	 23.846
45.000	 24.615
41.000	 25.385
38.000	 26.154
37.000	 26.923
32.000	 27.692
31.000	 28.462
28.000	 29.231
26.000	 30.000
20.000	 30.769
18.000	 31.538
18.000	 32.308
16.000	 33.077
15.000	 33.846
14.000	 34.615
13.000	 35.385
13.000	 36.154
13.000	 36.923
11.000	 37.692
9.000	 38.462
7.000	 39.231
6.000	 40.000
5.000	 40.769
5.000	 41.538
5.000	 42.308
5.000	 43.077
5.000	 43.846
4.000	 44.615
4.000	 45.385
3.000	 46.154
3.000	 46.923
2.000	 47.692
2.000	 48.462
2.000	 49.231
2.000	 50.000
2.000	 50.769
2.000	 51.538
2.000	 52.308
2.000	 53.077
1.000	 53.846
1.000	 54.615
1.000	 55.385
1.000	 56.154
1.000	 56.923
1.000	 57.692
1.000	 58.462
1.000	 59.231
1.000	 60.000
1.000	 60.769
1.000	 61.538
