N_P	N_A	N_B	Time
1000.000	 0.000	 0.000	 0.000
606.448	 98.723	 294.829	 1.250
367.541	 158.392	 474.067	 2.500
222.690	 194.542	 582.768	 3.750
135.269	 216.407	 648.324	 5.000
81.872	 229.902	 688.226	 6.250
49.546	 237.958	 712.496	 7.500
29.962	 242.826	 727.212	 8.750
18.110	 245.785	 736.105	 10.000
10.958	 247.565	 741.477	 11.250
6.627	 248.607	 744.760	 12.500
4.013	 249.210	 746.736	 13.750
2.457	 249.564	 747.757	 15.000
1.468	 249.849	 748.242	 16.250
0.888	 249.503	 748.969	 17.500
0.528	 250.095	 748.589	 18.750
0.314	 249.849	 748.966	 20.000
0.186	 248.742	 750.117	 21.250
0.111	 249.343	 749.569	 22.500
0.062	 251.276	 747.655	 23.750
0.036	 251.343	 747.629	 25.000
0.021	 251.762	 747.238	 26.250
0.015	 253.000	 746.000	 27.500
0.011	 248.273	 750.727	 28.750
0.004	 245.500	 753.500	 30.000
0.003	 248.000	 751.000	 31.250
0.001	 254.000	 745.000	 32.500
0.001	 254.000	 745.000	 33.750
0.001	 254.000	 745.000	 35.000
0.001	 254.000	 745.000	 36.250
0.001	 254.000	 745.000	 37.500
0.001	 254.000	 745.000	 38.750
0.001	 254.000	 745.000	 40.000
0.001	 254.000	 745.000	 41.250
