N	Time
1000.000	 0.000
904.680	 0.769
818.580	 1.538
740.560	 2.308
670.180	 3.077
606.350	 3.846
548.580	 4.615
496.040	 5.385
449.360	 6.154
407.410	 6.923
368.820	 7.692
334.260	 8.462
302.620	 9.231
274.320	 10.000
248.380	 10.769
224.570	 11.538
203.500	 12.308
184.070	 13.077
166.400	 13.846
150.240	 14.615
135.120	 15.385
122.340	 16.154
110.630	 16.923
100.200	 17.692
90.570	 18.462
82.170	 19.231
74.300	 20.000
67.380	 20.769
60.850	 21.538
54.980	 22.308
49.800	 23.077
45.220	 23.846
41.000	 24.615
37.020	 25.385
33.490	 26.154
30.220	 26.923
27.250	 27.692
24.770	 28.462
22.330	 29.231
20.280	 30.000
18.520	 30.769
16.590	 31.538
14.960	 32.308
13.500	 33.077
12.000	 33.846
10.840	 34.615
9.770	 35.385
8.920	 36.154
8.000	 36.923
7.230	 37.692
6.470	 38.462
5.850	 39.231
5.350	 40.000
4.840	 40.769
4.450	 41.538
4.010	 42.308
3.640	 43.077
3.330	 43.846
3.010	 44.615
2.680	 45.385
2.450	 46.154
2.260	 46.923
1.990	 47.692
1.780	 48.462
1.540	 49.231
1.340	 50.000
1.240	 50.769
1.120	 51.538
1.050	 52.308
0.980	 53.077
0.920	 53.846
0.840	 54.615
0.790	 55.385
0.680	 56.154
0.600	 56.923
0.570	 57.692
0.500	 58.462
0.490	 59.231
0.470	 60.000
0.420	 60.769
0.350	 61.538
0.290	 62.308
0.260	 63.077
0.240	 63.846
0.200	 64.615
0.200	 65.385
0.180	 66.154
0.170	 66.923
0.150	 67.692
0.120	 68.462
0.110	 69.231
0.100	 70.000
0.090	 70.769
0.090	 71.538
0.080	 72.308
0.070	 73.077
0.070	 73.846
0.070	 74.615
0.050	 75.385
0.050	 76.154
0.050	 76.923
0.050	 77.692
0.040	 78.462
0.040	 79.231
0.040	 80.000
0.040	 80.769
0.040	 81.538
0.040	 82.308
0.030	 83.077
0.030	 83.846
0.030	 84.615
0.030	 85.385
0.030	 86.154
0.030	 86.923
0.030	 87.692
0.030	 88.462
0.030	 89.231
0.030	 90.000
0.030	 90.769
0.030	 91.538
0.030	 92.308
0.020	 93.077
0.020	 93.846
0.020	 94.615
0.010	 95.385
0.010	 96.154
0.010	 96.923
0.010	 97.692
0.010	 98.462
0.010	 99.231
0.010	 100.000
0.010	 100.769
0.010	 101.538
0.010	 102.308
0.010	 103.077
0.010	 103.846
0.010	 104.615
0.010	 105.385
