N_P	N_H	Time
1000.000	 0.000	 0.000
778.247	 154.044	 2.500
605.391	 193.052	 5.000
471.389	 184.336	 7.500
367.210	 159.534	 10.000
285.969	 131.535	 12.500
222.351	 105.949	 15.000
172.883	 83.997	 17.500
134.668	 65.930	 20.000
104.708	 51.811	 22.500
81.546	 40.387	 25.000
63.549	 31.493	 27.500
49.453	 24.697	 30.000
38.486	 19.373	 32.500
29.914	 15.169	 35.000
23.432	 11.655	 37.500
18.272	 9.163	 40.000
14.159	 7.090	 42.500
11.038	 5.472	 45.000
8.475	 4.456	 47.500
6.594	 3.363	 50.000
5.137	 2.606	 52.500
3.990	 1.977	 55.000
3.095	 1.560	 57.500
2.418	 1.196	 60.000
1.868	 0.934	 62.500
1.429	 0.748	 65.000
1.116	 0.582	 67.500
0.887	 0.441	 70.000
0.699	 0.346	 72.500
0.524	 0.269	 75.000
0.397	 0.227	 77.500
0.314	 0.149	 80.000
0.248	 0.099	 82.500
0.195	 0.081	 85.000
0.156	 0.063	 87.500
0.127	 0.049	 90.000
0.101	 0.044	 92.500
0.079	 0.034	 95.000
0.059	 0.024	 97.500
0.048	 0.017	 100.000
0.037	 0.015	 102.500
0.028	 0.012	 105.000
0.023	 0.009	 107.500
0.017	 0.006	 110.000
0.016	 0.006	 112.500
0.011	 0.009	 115.000
0.008	 0.007	 117.500
0.007	 0.006	 120.000
0.007	 0.002	 122.500
0.004	 0.002	 125.000
0.003	 0.002	 127.500
0.002	 0.003	 130.000
0.001	 0.003	 132.500
0.001	 0.001	 135.000
0.001	 0.000	 137.500
0.000	 0.001	 140.000
